business_category,sub_category,brand,product,quantity,price,mainCategory,midCategory,category,qty,unit
Grocery/General Stores,Household and Kitchen needs,Liao,Kitchen Sponge - Super Absorbent,3 pcs,Rs 149,cleaning-household,mops-brushes-scrubs,dust-cloth-wipes,3,pc
Grocery/General Stores,Dairy products,Amul,Spread - Choco Butter,200 g Tub,MRP: Rs 89,bakery-cakes-dairy,dairy,butter-margarine,200,g
Grocery/General Stores,Household and Kitchen needs,NanoNine,"Steel Lunch/Tiffin Box - Large Plus, InsuLock",575 ml,Rs 349,kitchen-garden-pets,steel-utensils,steel-lunch-boxes,575,ml
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Safe Harvest,Bajra Daliya - Pesticide Free,500 g,Rs 47.53,foodgrains-oil-masala,atta-flours-sooji,rice-other-flours,500,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Gits,Mix - Gulab Jamum,100 g Carton,Rs 43,snacks-branded-foods,ready-to-cook-eat,dessert-mixes,100,g
Grocery/General Stores,Dry Fruits & Nuts,24 Mantra,Naturals - Kismis,100 g Pouch,MRP: Rs 75,foodgrains-oil-masala,organic-staples,organic-dry-fruits,100,g
Personal Care,Hair Care,Pantene,Advanced Hair Fall Solution Long Black Shampoo,340 ml,MRP: Rs 225.00,beauty-hygiene,hair-care,shampoo-conditioner,340,ml
Personal Care,Deo & Fragrance,Nivea Men,Cool Kick Deodorant Roll On - 48h Long Lasting Freshness,50 ml,Rs 139.30,beauty-hygiene,fragrances-deos,body-sprays-mists,50,ml
Personal Care,Feminine Hygiene,Whisper,"Sanitary Pads - XL, Ultra Soft 50 pcs + Daily Liners - Clean & Fresh 20s Pack",Combo 2 Items,Rs 438.96,beauty-hygiene,feminine-hygiene,sanitary-napkins,2,pc
Grocery/General Stores,"Spreads, Sauces and Canned Food",HappyChef,Orange Marmalade With No Added Sugar,330 g,Rs 149,gourmet-world-food,sauces-spreads-dips,jams-marmalade-spreads,330,g
Grocery/General Stores,"Tea , Coffee and Powders",Nescafe Gold,Alta Rica Bold & Intense,100 g Bottle,MRP: Rs 999,gourmet-world-food,drinks-beverages,coffee-pre-mix,100,g
Personal Care,Body Care,TIGI,Bed Head Oh Bee Hive Dry Shampoo,238ml,Rs 1200,beauty-hygiene,hair-care,dry-shampoo-conditioner,238,ml
Grocery/General Stores,Ghee and Oil,Patanjali,Fortified Rice Bran Oil,1 L Pouch,MRP: Rs 185,foodgrains-oil-masala,edible-oils-ghee,sunflower-rice-bran-oil,1,l
Grocery/General Stores,Health care,Vicks,Cough Drops,200 pcs Jar,MRP: Rs 195,beauty-hygiene,health-medicine,everyday-medicine,200,pc
Grocery/General Stores,Indian Sweets,Sangam Sweets,Motichur Ladoo,500 g,MRP: Rs 320,snacks-branded-foods,indian-mithai,fresh-sweets,500,g
Grocery/General Stores,Batteries and Electonic Acessories ,Eveready,"LED Bulb - 5 Watt, Cool Day Light, Base B22D",1 pc,Rs 80,kitchen-garden-pets,appliances-electricals,cfl-led-bulbs,1,pc
